% -------------------------------------------------------------------------------------------
% OHARA Glass Catalog
% -------------------------------------------------------------------------------------------
% Date:                   2012-01-27
% Source:                 gk_xls_20120127.xls
% Dispersion Formula:     Sellmeier  [ n^2 - 1 = A1*L^2/(L2-B1) + A2*L^2/(L2-B2) + A3*L^2/(L2-B3) ]
% Valid Wavelength Range: 326 ~ 1129 nm
% -------------------------------------------------------------------------------------------
% Name	A1	A2	A3	B1	B2	B3
%/
S-LAH60	1.9524346900E+00	3.0710021000E-01	1.5657809400E+00	1.0644243700E-02	4.5673530200E-02	1.1028141000E+02
S-LAH63	1.8945827600E+00	2.6870297800E-01	1.4570552600E+00	1.0227704800E-02	4.4280124300E-02	1.0487492700E+02
S-LAH64	1.8302145300E+00	2.9156359000E-01	1.2854402400E+00	9.0482329000E-03	3.3075668900E-02	8.9367550100E+01
S-LAH65	1.6819125800E+00	4.9377981800E-01	1.4568282200E+00	7.7668425000E-03	2.8891618100E-02	9.9257435600E+01
S-LAH65V	1.8141903400E+00	3.6137630100E-01	1.3272948400E+00	8.7493502900E-03	3.1835283600E-02	9.1340689800E+01
S-LAH66	1.3928058600E+00	6.7957709400E-01	1.3870206900E+00	6.0847511800E-03	2.3392535100E-02	9.5835409400E+01
S-LAH71	1.9828003100E+00	3.1675845000E-01	2.4447264600E+00	1.1898745900E-02	5.2715600100E-02	2.1322069700E+02
S-LAH79	2.3255714800E+00	5.0796713300E-01	2.4308719800E+00	1.3289520800E-02	5.2833544900E-02	1.6112240800E+02
S-LAL7	9.1612124700E-01	7.6594831900E-01	1.2774502300E+00	3.9588974300E-03	1.6754742500E-02	1.1076270600E+02
S-LAL8	1.3066329100E+00	5.7137725300E-01	1.2430360500E+00	6.1186244800E-03	2.1272147000E-02	9.0628568600E+01
S-LAL9	1.1619568700E+00	6.4486009900E-01	1.2506222100E+00	1.5965950900E-02	5.0550246700E-04	9.3828416900E+01
S-LAL10	1.5281257500E+00	3.6796526700E-01	1.1175178400E+00	7.7681764400E-03	2.7202654800E-02	8.8869740000E+01
S-LAL12	9.9205389500E-01	7.7137773100E-01	1.1829626400E+00	1.6709506300E-02	2.3675015600E-03	1.0590108000E+02
S-LAL13	9.8007126700E-01	8.3290477600E-01	1.2811199500E+00	3.8912369800E-03	1.8916459200E-02	9.8905267600E+01
S-LAL14	1.2372097000E+00	5.8972262300E-01	1.3192188000E+00	1.5355132000E-02	-3.0789625000E-04	9.3720294700E+01
S-LAL18	1.5027631800E+00	4.3022449700E-01	1.3472606000E+00	1.4546235600E-02	-3.3278415300E-03	9.3350834200E+01
S-LAL54	1.4191018900E+00	2.5841688100E-01	1.0738553700E+00	7.2664742800E-03	2.6384249900E-02	1.0255546300E+02
S-LAL56	1.5405200000E+00	2.1774870400E-01	1.3045612200E+00	8.2676510100E-03	3.2853372600E-02	1.2452747900E+02
S-LAL58	1.0636878900E+00	7.4493906700E-01	1.5917894200E+00	1.8519964000E-02	1.1629586200E-03	1.5663602500E+02
S-LAL59	1.1396274200E+00	8.0522783800E-01	1.2948806100E+00	4.9329486200E-03	2.0247996000E-02	9.3474650700E+01
S-LAL61	1.1107329200E+00	8.5934777300E-01	1.2670743300E+00	4.6418124800E-03	1.9298926100E-02	8.7391769800E+01
S-LAM2	1.7713000000E+00	1.9581423000E-01	1.1948783400E+00	9.7665244400E-03	4.1271862800E-02	1.1045812200E+02
S-LAM3	1.6425871300E+00	2.3963461000E-01	1.2248302600E+00	8.6824602000E-03	3.5122624200E-02	1.1660436900E+02
S-LAM7	1.7101471200E+00	2.5694329200E-01	1.6398627100E+00	1.0516108000E-02	5.0280963600E-02	1.4618121700E+02
S-LAM51	1.6384720000E+00	1.8833053300E-01	1.4750235700E+00	9.0485345200E-03	3.7274017300E-02	1.3777005000E+02
S-LAM52	1.7344294200E+00	1.5155391000E-01	1.4622543300E+00	1.0069092800E-02	4.7063470100E-02	1.4008439600E+02
S-LAM54	1.8421330600E+00	1.7546863100E-01	1.2575087800E+00	9.4399322000E-03	3.9528112200E-02	8.6546301300E+01
S-LAM55	1.8541297900E+00	1.6545032300E-01	1.2725542200E+00	1.0843815200E-02	5.1405098000E-02	1.0998683700E+02
S-LAM58	1.7098485600E+00	1.7334289700E-01	1.6483356500E+00	1.0085212700E-02	4.7089083100E-02	1.5746852000E+02
S-LAM59	1.6305613300E+00	1.8699489700E-01	1.3001428900E+00	8.9969070500E-03	3.6801199300E-02	1.2223954400E+02
S-LAM60	1.6067305600E+00	3.6641564000E-01	1.3176180400E+00	7.7504614000E-03	2.8996761100E-02	9.3072070900E+01
S-LAM61	1.7388333000E+00	1.5093743000E-01	1.1211844500E+00	9.8024410500E-03	4.3317968500E-02	1.0121462500E+02
S-LAM66	1.9209422100E+00	2.1990120800E-01	1.7270523100E+00	1.1507524100E-02	5.4799354300E-02	1.2013367400E+02
S-NBH5	1.4754452100E+00	1.9306009500E-01	1.5093901000E+00	9.5583674000E-03	4.6043048300E-02	1.2642274600E+02
S-NBH8	1.6134413600E+00	2.5729588800E-01	1.9836445500E+00	1.0638675200E-02	4.8707162400E-02	1.5978440400E+02
S-NBH51	1.7120368900E+00	2.5598958800E-01	1.8145699800E+00	1.0772413400E-02	4.8859350400E-02	1.3635901300E+02
S-NBH52	1.5030579900E+00	2.2171592600E-01	1.8449639100E+00	9.9902173800E-03	4.5032769800E-02	1.6372230200E+02
S-NBH53	1.6582834000E+00	2.6327566600E-01	2.1014275900E+00	1.1387251600E-02	5.2210813700E-02	1.6552364900E+02
S-NBH55	1.8314515600E+00	2.8781802400E-01	2.1520830000E+00	1.2244313900E-02	5.7387731000E-02	1.8609912400E+02
S-NBM51	1.3702310100E+00	1.7766556800E-01	1.3051547100E+00	8.7192034200E-03	4.0572555200E-02	1.1270305800E+02
S-NPH1	1.7515662300E+00	3.6400630400E-01	2.4787414100E+00	1.3500468100E-02	6.6824514700E-02	1.7075600600E+02
S-NPH2	2.0386951000E+00	4.3726964100E-01	2.9671146100E+00	1.7079622400E-02	7.4925481300E-02	1.7415535400E+02
S-NPH3	2.0983490300E+00	4.8908838800E-01	2.9400926800E+00	1.7912386900E-02	7.7665335300E-02	1.6093042800E+02
S-NPH53	1.8548490400E+00	3.9619448400E-01	2.4351246100E+00	1.3462148600E-02	6.3194536100E-02	1.7086488600E+02
S-NSL3	8.8251476400E-01	3.8927190700E-01	1.1069344800E+00	4.6450458200E-03	2.0055139700E-02	1.3623433900E+02
S-NSL5	1.0457457700E+00	2.3961302600E-01	1.1590685000E+00	5.8523228000E-03	2.3685875200E-02	1.3132906100E+02
S-NSL36	1.0966615300E+00	1.6899007300E-01	1.2058082700E+00	6.6749112300E-03	3.3609545000E-02	1.4166873800E+02
S-PHM52	1.0996655000E+00	4.7812542200E-01	1.1321407400E+00	1.3271855900E-02	-6.0164968500E-04	1.3059547200E+02
S-PHM53	1.0977542300E+00	4.3481643200E-01	1.1389497600E+00	1.2336940000E-02	-3.7252290300E-04	1.2427698400E+02
S-TIH1	1.6032675900E+00	2.4298093500E-01	1.8131359200E+00	1.1801913900E-02	5.9136365800E-02	1.6121874700E+02
S-TIH3	1.6479764800E+00	2.6726191700E-01	2.1977284500E+00	1.2191769300E-02	5.9789303900E-02	1.9215834000E+02
S-TIH4	1.6675553100E+00	2.9441186500E-01	2.4942211900E+00	1.2205213700E-02	5.9777532900E-02	2.1486961800E+02
S-TIH6	1.7722761100E+00	3.4569125000E-01	2.4078850100E+00	1.3118263300E-02	6.1447961900E-02	2.0075325400E+02
S-TIH10	1.6154939200E+00	2.6243323900E-01	2.0942618900E+00	1.1983089700E-02	5.9651024000E-02	1.8165755400E+02
S-TIH11	1.7267747100E+00	3.2456862800E-01	2.6581680900E+00	1.2936995800E-02	6.1825524500E-02	2.2190463700E+02
S-TIH13	1.6222467400E+00	2.9384458900E-01	1.9922516400E+00	1.1836838600E-02	5.9020802500E-02	1.7195997600E+02
S-TIH14	1.6891510800E+00	2.9046202400E-01	2.3797151600E+00	1.2820251400E-02	6.1809084100E-02	2.0109435200E+02
S-TIH18	1.5992160800E+00	2.5953216400E-01	2.1245454300E+00	1.1646930400E-02	5.8482488300E-02	1.8692777900E+02
S-TIH23	1.7398648500E+00	3.1389491800E-01	2.3109320600E+00	1.2944130000E-02	6.1211686800E-02	1.9742048200E+02
S-TIH53	1.8790488600E+00	3.6971977500E-01	2.3373086300E+00	1.4412177000E-02	6.3881799000E-02	1.8266818000E+02
S-TIL1	1.2508894400E+00	9.9797332700E-02	1.2058350400E+00	8.8392127900E-03	4.8268505200E-02	1.3741495300E+02
S-TIL2	1.2340149900E+00	9.5979683300E-02	1.2050399100E+00	8.6950780100E-03	4.6561142900E-02	1.3795330100E+02
S-TIL6	1.1770177700E+00	1.2795803000E-01	1.3474012400E+00	7.7108768600E-03	4.1132532800E-02	1.5453169200E+02
S-TIL25	1.3212253400E+00	1.2382497600E-01	1.4368525400E+00	9.5209143600E-03	5.1606266500E-02	1.4906488300E+02
S-TIL26	1.3106648800E+00	9.4190309400E-02	1.2329264400E+00	9.6889781200E-03	5.2776310600E-02	1.3329642200E+02
S-TIL27	1.3143315400E+00	1.1230016800E-01	1.4139010000E+00	9.5040447700E-03	5.2411277200E-02	1.4842997200E+02
S-TIM1	1.4496383000E+00	1.2298640800E-01	1.3806672300E+00	1.1209428200E-02	5.9626577000E-02	1.3817832600E+02
S-TIM2	1.4219384600E+00	1.3382796800E-01	1.4506057400E+00	1.0729151100E-02	5.7258754600E-02	1.4538180500E+02
S-TIM3	1.4069114400E+00	1.2836974500E-01	1.5182619100E+00	1.0563364100E-02	5.6848310500E-02	1.5210792400E+02
S-TIM5	1.3853134200E+00	1.2237294500E-01	1.4050832600E+00	1.0407456700E-02	5.5744008800E-02	1.4487873300E+02
S-TIM8	1.3726271300E+00	1.1263627600E-01	1.3978642100E+00	1.0322006800E-02	5.5019504400E-02	1.4773560900E+02
S-TIM22	1.4422229400E+00	1.9443226500E-01	1.7409248200E+00	1.0424940400E-02	5.5023525700E-02	1.6971076900E+02
S-TIM25	1.5065923300E+00	2.0478613500E-01	1.9203666800E+00	1.0950156200E-02	5.7498028500E-02	1.7812853500E+02
S-TIM27	1.4168047000E+00	1.9678505700E-01	1.6800132200E+00	1.0073215800E-02	5.3761690800E-02	1.6467243600E+02
S-TIM28	1.5427081000E+00	2.1711389100E-01	1.8190445900E+00	1.1392500500E-02	5.7922457200E-02	1.6769718900E+02
S-TIM35	1.5584977500E+00	2.3076700700E-01	1.8443609900E+00	1.1536723500E-02	5.8609594700E-02	1.6298188800E+02
S-TIM39	1.4700810500E+00	2.2475274600E-01	2.4496859200E+00	1.0290043200E-02	5.4127690400E-02	2.3743494000E+02
S-YGH51	1.0828017000E+00	9.3398868100E-01	1.3236728600E+00	1.8115636000E-02	3.0415757500E-03	9.1035319500E+01
BAL15Y	1.2834833100E+00	1.0280076500E-01	4.0460988500E-01	7.9090051500E-03	3.0597127400E-02	4.6526835600E+01
BAL35Y	1.2623142900E+00	2.2515421000E-01	6.3911934500E-01	6.9558635500E-03	2.2131069900E-02	6.3166273600E+01
BSL7Y	1.1332938300E+00	1.3689720100E-01	7.0345600400E-01	6.6940786800E-03	2.3739176000E-02	7.0703031600E+01
BSM51Y	1.2239317100E+00	3.0648238300E-01	8.2395090100E-01	6.4952108300E-03	2.0819416100E-02	7.9516895100E+01
L-BAL35	1.1626263000E+00	3.2566105100E-01	1.3513248600E+00	1.2595743700E-02	-3.2691105000E-03	1.1921459600E+02
L-BAL42	1.3952809700E+00	7.2551952000E-02	1.6633584800E+00	1.1186203000E-02	-2.4674857500E-02	1.6771795800E+02
L-BBH1	2.5694941400E+00	5.2438619200E-01	1.4016056600E+00	2.0561397400E-02	8.3348454000E-02	1.1973334300E+02
L-BSL7	9.1747391800E-01	3.5268766500E-01	1.0557978800E+00	5.2770141100E-03	1.7080949700E-02	1.0430258300E+02
L-LAH53	1.9078137200E+00	2.6350013000E-01	1.2814461400E+00	1.0341328500E-02	4.1904115500E-02	9.5706856700E+01
L-LAH81	1.8992734400E+00	2.7097886600E-01	1.3316381900E+00	1.0290182800E-02	4.2422717300E-02	1.0096756600E+02
L-LAH83	1.8233157900E+00	5.4862588500E-01	1.6318285500E+00	9.1146887500E-03	3.2841967000E-02	1.2361117400E+02
L-LAH84	1.8626710900E+00	3.1556413100E-01	1.3071693400E+00	1.0162711500E-02	3.9409665500E-02	1.0377446400E+02
L-LAH85	1.9388998800E+00	3.9787919000E-01	1.4993771300E+00	9.9638164400E-03	3.6975114000E-02	1.0795146700E+02
L-LAH85V	1.9746050300E+00	3.6190359200E-01	1.3843324100E+00	1.0185425800E-02	3.8482911800E-02	1.0371362700E+02
L-LAH86	2.1110270900E+00	3.7036809400E-01	1.6268748400E+00	1.2071413500E-02	5.3246441600E-02	1.0916639600E+02
L-LAH87	1.4888027000E+00	5.7063508200E-01	1.1646776100E+00	7.6610641200E-03	2.5085254800E-02	1.0141199200E+02
L-LAL12	1.2851628300E+00	4.7833379700E-01	1.2160530100E+00	6.4106208200E-03	2.1481509900E-02	1.0024337800E+02
L-LAL13	1.1777614600E+00	6.3459134500E-01	1.2043564900E+00	5.5761824300E-03	2.0682146900E-02	9.9632277600E+01
L-LAL67	1.1097437400E+00	6.2623053400E-01	1.2055203100E+00	5.3154696500E-03	1.9243808500E-02	9.4917732200E+01
L-LAM60	1.4757418400E+00	4.9613274300E-01	1.2379623600E+00	7.3695000000E-03	2.5189174600E-02	9.8030665100E+01
L-LAM69	1.7403896000E+00	1.7699691700E-01	1.7677541300E+00	1.0339887000E-02	4.8482276500E-02	1.3667199600E+02
L-LAM72	1.5048329700E+00	4.3334641400E-01	1.2714921000E+00	7.5034233000E-03	2.6900952000E-02	9.5763127200E+01
L-NBH54	2.0072265200E+00	4.4208677300E-01	3.3728742600E+00	1.3570512400E-02	5.9180887300E-02	2.1983266500E+02
L-PHL1	1.0757079800E+00	3.3502034700E-01	8.1099755800E-01	5.9165404200E-03	2.0343276900E-02	1.0618215800E+02
L-PHL2	1.0813717600E+00	3.1325766000E-01	8.7919286300E-01	5.9421017700E-03	1.9801156700E-02	1.0989381700E+02
L-TIH53	1.8346464300E+00	4.1507960200E-01	2.8256349200E+00	1.3499200100E-02	6.1860885400E-02	2.0162917000E+02
L-TIM28	1.5803909900E+00	1.7829432300E-01	1.1487620400E+00	1.2527014700E-02	6.0280750500E-02	1.1621505500E+02
PBL1Y	1.2477296100E+00	1.0195490900E-01	3.5047961900E-01	9.2660662300E-03	4.5175431100E-02	4.5018670500E+01
PBL6Y	1.2231079400E+00	8.1121792900E-02	3.2140093900E-01	8.9780533300E-03	4.4575695700E-02	4.0596224700E+01
PBL25Y	1.3196062600E+00	1.2375263300E-01	2.1005535100E-01	1.0186341500E-02	4.8359350800E-02	2.7327202900E+01
PBL26Y	1.2947177300E+00	1.0888098100E-01	2.2032296400E-01	9.8657947900E-03	4.7756882800E-02	2.8850986300E+01
PBM2Y	1.3944650300E+00	1.5923098500E-01	2.4547021600E-01	1.1057187200E-02	5.0719488200E-02	3.1444014200E+01
PBM8Y	1.3535132200E+00	1.3021291200E-01	1.5833726600E-01	1.0562462600E-02	4.9660665200E-02	2.0796580600E+01
PBM18Y	1.3466021500E+00	1.3632234300E-01	1.8337158700E-01	1.0631373300E-02	4.9140301300E-02	2.3915465500E+01
